"term","description","category","English","Japanese","Russian","French","German","Spanish","Portuguese (Brazil)","Chinese (Simplified)","Chinese (Traditional)","Korean","PolskI","Output Localization"
"REFS/","","","","","","","","","","","","","","""REFS/"", """""
"REFS/DEBUG LIST https://docs.google.com/document/d/13g8jaVDlBcd7tkyp5SMmBB6OoGnYCJbZ8OAsNK7-7O8/edit?usp=sharing","","","","","","","","","","","","","","""REFS/DEBUG LIST https://docs.google.com/document/d/13g8jaVDlBcd7tkyp5SMmBB6OoGnYCJbZ8OAsNK7-7O8/edit?usp=sharing"", """""
"REFS/GAME STORY REF: https://docs.google.com/document/d/1mTeSe1U14h3YO2EpBdpu13qQwe_uX9KZYiWWrLjIBKY/edit?usp=sharing","","","","","","","","","","","","","","""REFS/GAME STORY REF: https://docs.google.com/document/d/1mTeSe1U14h3YO2EpBdpu13qQwe_uX9KZYiWWrLjIBKY/edit?usp=sharing"", """""
"REFS/TAROT REF: https://docs.google.com/spreadsheets/d/1dceOzIeAh-70jSWnFdemqfG10WFmh6_hw08CggoTDLU/edit?usp=sharing","","","","","","","","","","","","","","""REFS/TAROT REF: https://docs.google.com/spreadsheets/d/1dceOzIeAh-70jSWnFdemqfG10WFmh6_hw08CggoTDLU/edit?usp=sharing"", """""
"REFS/WEAPON / CURSE REF: https://docs.google.com/spreadsheets/d/1QwnbLl2hgHPdP6TeYav1h82QFfC9i0o1a-k0io3vgpw/edit?usp=sharing","","","","","","","","","","","","","","""REFS/WEAPON / CURSE REF: https://docs.google.com/spreadsheets/d/1QwnbLl2hgHPdP6TeYav1h82QFfC9i0o1a-k0io3vgpw/edit?usp=sharing"", """""
"REFS/ENEMIES REF: https://docs.google.com/spreadsheets/d/1EpRCHKnS6h5XUFBYCsWdTfmDzB3SPeZI2mCQAgKYrzI/edit?usp=sharing","","","","","","","","","","","","","","""REFS/ENEMIES REF: https://docs.google.com/spreadsheets/d/1EpRCHKnS6h5XUFBYCsWdTfmDzB3SPeZI2mCQAgKYrzI/edit?usp=sharing"", """""
"REFS/RESOURCES ICON REF: https://www.dropbox.com/sh/j4gt6qy8tcrlt5d/AAC_1O_ohf41ETNPddFu2Lloa?dl=0","","","","","","","","","","","","","","""REFS/RESOURCES ICON REF: https://www.dropbox.com/sh/j4gt6qy8tcrlt5d/AAC_1O_ohf41ETNPddFu2Lloa?dl=0"", """""
"REFS/NPC NAMES REF: https://docs.google.com/spreadsheets/d/1oyxmCqXUU9QFdwbs6MnVlEVDOtGkkJIuSRG5RJkwKE4/edit?usp=sharing","","","","","","","","","","","","","","""REFS/NPC NAMES REF: https://docs.google.com/spreadsheets/d/1oyxmCqXUU9QFdwbs6MnVlEVDOtGkkJIuSRG5RJkwKE4/edit?usp=sharing"", """""
"REFS/MINI-BOSS NAMES REF: https://docs.google.com/spreadsheets/d/1EpRCHKnS6h5XUFBYCsWdTfmDzB3SPeZI2mCQAgKYrzI/edit?usp=sharing","","","","","","","","","","","","","","""REFS/MINI-BOSS NAMES REF: https://docs.google.com/spreadsheets/d/1EpRCHKnS6h5XUFBYCsWdTfmDzB3SPeZI2mCQAgKYrzI/edit?usp=sharing"", """""
"REFS/LOCATIONS REF: (some missing) https://docs.google.com/spreadsheets/d/12i548gthX71az029ZdMxPDKIrQQ93aqElF2UfL9Uh1E/edit?usp=sharing","","","","","","","","","","","","","","""REFS/LOCATIONS REF: (some missing) https://docs.google.com/spreadsheets/d/12i548gthX71az029ZdMxPDKIrQQ93aqElF2UfL9Uh1E/edit?usp=sharing"", """""
"REFS/BUILDING / UPGRADE ICONS: https://www.dropbox.com/sh/6w5tgar7ggcntap/AAAa3S2iIsodbYi6IgIeBBtBa?dl=0","","","","","","","","","","","","","","""REFS/BUILDING / UPGRADE ICONS: https://www.dropbox.com/sh/6w5tgar7ggcntap/AAAa3S2iIsodbYi6IgIeBBtBa?dl=0"", """""
